serialNo,stitle,deptName,postDate,content
413,菸盒內藏毒品想蒙混  毒嫌遭查獲措手不及,高雄市政府警察局公共關係室,2018/05/22 15:28,"  高市警局三民一分局哈爾濱所警員李佳衛、蔡仲育、游孟洋、黃來順於107年5月20日19時，經接獲線報指義華路某戶一名有毒品前科男性時常進出該處，住戶及附近店家懷疑其形跡可疑故希望警方能協助清查，而警方到達該處時，發現蘇嫌正在附近購買飲料，遂前往盤查蘇嫌身分，蘇嫌經警方盤查後，自知難逃法網便主動交付一、二級毒品安非他命及裝毒品用菸盒一盒，警方將蘇嫌帶返所以毒品危害防制條例移送法辦。哈爾濱所警員李佳衛、蔡仲育、游孟洋、黃來順於107年5月20日19時經接獲線報於義華路某戶有一名形跡可疑男子經常出入，經警方前往並盤查後，發現蘇嫌正在現場購買飲料，蘇嫌果真有多項毒品前科，便詢問是否有施用毒品情事，蘇嫌見多名警力盤查，便神色慌張並將手按壓在褲子右側口袋上，警員李佳衛見其有異狀便問蘇嫌是否有攜帶毒品，蘇嫌見無法躲避盤查便主動交付一個菸盒，內含一級毒品安海洛因(含袋毛重11.5公克)3小包、二級毒品安非他命(含袋毛重17.1公克)，警方遂將蘇嫌逮捕後帶返所偵辦。
蘇嫌到案後坦承其所持有毒品都是自己要施用的，因染上毒癮卻無力戒改才會一錯再錯越吸毒癮越大，而自己平日都已從事粗工維生，蘇嫌稱其毒品都是透過微信向一名綽號「龍仔」的男子購買並不清楚其真實身分，警方訊後將蘇嫌以毒品危害防制條例移送法辦並將向上溯源查捕販毒者身分。
"
414,毒蟲遇警心虛露餡 跳針:哇袂咔齁律師啦！,高雄市政府警察局公共關係室,2018/05/22 15:25,"  高市警局鼓山分局內惟派出所巡佐魏志文、警員林宏泉於05月21日凌晨開車巡邏行經鼓山區九如四路超商時，發現一輛自小客車違停在路邊，車燈未關呈現熄火狀態。2員在現場等候約5分鐘仍未見駕駛人前來，另超商內有一名男子遲不結帳，員警上前詢問，男子才告知忘記帶錢包。男子告知要到車上拿錢包，魏、林2員已有了戒心緊隨在旁，李嫌作勢要拿錢包時卻一把跳上駕駛座想要發動車輛駕車逃離，員警在李嫌開啟車門時早已發現乘客座上的K盤及不明白色粉末包，加上李嫌跳上車的動作，讓2員不假思索將他從駕駛座拉下車，並進行壓制，現場熱心民眾見狀也上前協助警方壓制李嫌，並勸李嫌好好配合。隨後在車上及皮包內起獲K盤及三級毒品愷他命共48.57公克，李嫌除嚷著要打電話找律師外，直呼〝真倒楣〞！。
據了解，這名李姓男子有多項毒品前科，在5月21日凌晨前往超商領取包裹，心想深夜比較不會被發現。好死不死，違停未關車燈又巧遇警察盤查。李嫌向警方表示自己多次進出監獄以及勒戒所，很想戒掉毒品不再施用，但今日實在是毒癮難耐，才會又忍不住購買毒品施用，沒想到毒品才剛購入，就遇警察盤查，大嘆自己實在是很倒楣。在員警發現K盤及毒品後，眼見逃不過這一關了，只好認栽的將身上其他的愷他命也一併交出，隨後依毒品危害防制條例移送偵辦。
"
415,查獲吸食、持有毒品嫌犯  不眠不休逮三層上游毒販 署長陳家欽到場慰勉,高雄市政府警察局公共關係室,2018/05/21 15:10,"  高市警局三民一分局日前逮獲吸食、持有毒品嫌犯孫男，數名承辦員警48小時不眠不休，向上溯源逮獲3層上游毒販，分別是販賣毒品給孫男的方嫌、方嫌上層毒犯沈嫌及沈嫌上層毒犯程嫌。內政部警政署主長陳家欽今(21)日南下參加安居專案會議，特地利用時間到三民第一分局慰勉本次多名辛勞的員警，感謝員警為打擊毒犯付出心力。
三民一分局三民派出所警員潘昱均107年5月1日查獲吸食、持有毒品安非他命1包(毛重2.0公克)的嫌犯孫男(22歲，毒品前科)。三民第一分局偵查隊長許志雄了解案情後，火速組成專案小組，報請高雄地檢署檢察官許育銓指揮偵辦，積極從孫男身上查捕上游販毒者。當(1)日先成功查獲第一層上游販毒者方嫌，埋伏10餘小時翌(2)日再逮獲販毒給方嫌的第二層上游販毒者沈嫌，及3日查獲第三層販毒者程嫌等共三層毒品犯罪網絡，方嫌、沈嫌及程嫌等三人全數向警坦承販毒事實，共查扣二級毒品安非他命(毛重998.09公克)、大麻(毛重87.8公克)、韓MDMA成分咖啡包(毛重217.52公克)、三級毒品K他命(毛重57.8公克)、梅錠毛重(8.45公克)、搖頭丸(毛重16.71公克)、G水40瓶(含瓶毛重2800.5公克)。
三民一分局員警從偵破吸食、持有毒品嫌犯身上，向上積極溯源其上游販毒者，數名員警靠48小時不眠不休未闔眼成功向上偵破3層上游毒犯，警政署長陳家欽獲知後，特地利用今日南下高雄參加安居專案會議時間，到分局頒贈慰問金，由這次首功人員三民所警員潘育均代表接受，並在派出所舉辦座談會，慰勉第一線派出所員警。專30期從警近5年的三民所警員潘育均表示這次勤務雖然48小時都沒有闔眼十分疲憊，但能成功向上瓦解毒犯，讓他覺得再累再辛苦總有代價，而在署長鼓勵下，下次會更努力。警政署長陳家欽表示感謝員警從吸食、持有毒品嫌犯身上，靠著偵辦技巧，秉持「以案查案、向上溯源」之要領，積極追查施用毒品者購毒管道，成功瓦解上游販毒結構，展現警方維護治安的決心。
"
416,暗夜運毒這次栽跟斗 遇警衝撞遭破窗逮捕同案共犯住處起獲改造槍彈,高雄市政府警察局公共關係室,2018/05/19 15:09,"  臺灣橋頭地檢署於今年2月間接獲檢舉綽號阿冠販毒情資，經該署李明昌檢察官指揮高市警局湖內分局分局、海巡署偵防分署鳳山查緝隊深入追查此案。據報路竹、岡山區一帶有毒販經常深夜駕車販售毒品，經分析各方蒐集情資，鎖定張姓犯嫌確實涉嫌重大；分局長孫成儒立即指示偵查隊長組成專案小組，全力緝捕到案。
專案小組歷經3個月餘跟監、埋伏並運用各種偵查方式，始確定相關嫌犯身分及落腳處，知悉犯嫌習性晝伏夜出暗夜飛車運毒，致使緝毒幹員跟隨之日夜顛倒，個個苦不堪言；所幸於17日見時機成熟，報請橋頭地方法院核發搜索票，於上記查獲時、地發現涉毒車輛出現，專案人員見機不可失，經以車輛前後包抄夾擊上前圍捕，張嫌拒捕衝撞警方，因事態緊急直接以警棍敲破車窗，終於順利揪出張姓犯嫌，將其壓制在地。並於車內乘客座上查獲取出安非他命1大包（罕見1公斤裝）約1000公克、海洛因毒品1小包、販毒現金新台幣7萬多元。專案小組成員再循線前往同案共犯林嫌住處，當場起獲K他命毒品1小包（約1.28公克）、改造手槍1把、子彈5顆。全案依違反毒品危害防制條例、槍砲彈藥刀械管制條例等罪嫌移送橋頭地檢署偵辦，另報請承辦檢察官聲押張嫌並獲法院准押在案。
"
417,警民通力合作，甕中捉鱉，逮獲3詐騙車手！,高雄市政府警察局公共關係室,2018/05/18 14:48,"  高市警局三民二分局陽明派出所於107年5月15日受理轄內李姓婦人遭假檢警面交詐取新台幣75萬元，專案小組立刻展開偵辦。除調閱相關資料分析比對外，並提醒被害人小心歹徒可能進行二次詐騙。果不其然，歹徒食髓知味於次(16)日撥打電話要求被害人再至銀行提領290萬交付監管。被害人與派出所取得聯繫，專案人員立即陪同被害人以電話持續與歹徒斡旋，同時於雙方約定地點(三民區義華路、陽明路口)多方縝密佈署。下午15時30分許，見范○○於現場徘徊疑為涉案人，員警立即予以盤查，范嫌不敵員警盤詰，坦承受詐欺集團上游遙控至此地取款，其供稱尚有二名共犯隨同南下並指述共犯特徵。員警持續於現場埋伏，俟第二名車手呂○○出現與被害人面交贓款時立即上前壓制犯嫌，也逮捕同行之第三名女車手陳○○，現場扣獲贓款13200元及行動電話3具等證物，詢據三嫌均坦承犯行，遂帶案偵辦。
經查，范、呂、陳等三嫌異口同聲均稱：係見網路上的求職廣告即向一名「錢先生」應徵工作，性質係向債務人取款。然查，此一說法均為詐騙集團成員通用供詞，員警不予採信。持續突破，三嫌方坦承係接受詐騙集團車手頭綽號「小錢」之男子遙控，自桃園乘坐高鐵南下轉乘計程車至現場。由范嫌負責把風監控，呂、陳二嫌則現身向被害人取款，不法所得抽成比例為百分之3，三嫌分得約2萬餘元。專案小組即時佈署甕中捉鱉成功逮獲三嫌，被害人也表示感謝之意，詢後依詐欺罪移送高雄地檢署偵辦，同時繼續擴大清查其他共犯並溯源上游。
"
418,褲袋暗藏玄機  路竹警眼尖查獲毒蟲累犯,高雄市政府警察局公共關係室,2018/05/18 14:47,"  高市警局湖內分局路竹分駐所所長及警員黃昱豪等2員於日前執行16至18時巡邏勤務，17時25分許巡邏經過路竹區中正路與新民路口時，發現前方有一名男子騎乘機車形跡可疑且左邊褲袋吸管痕跡明顯，警方立即上前攔查。員警見蘇姓男子右手緊握褲袋、態度緊張，在警方展現執法力度後，蘇姓男子交出右褲袋內之毒品海洛因1小包(毛重0.60公克)，左褲袋則有注射針筒。
據了解，蘇姓男子月前才被路竹分駐所員警逮捕其吸食毒品海洛因，沒想到隔沒多久又被眼尖的路竹分駐所員警查獲，蘇姓男子坦承持有及吸食毒品，全案經警偵訊後依違反毒品危害防制條例移送臺灣橋頭地檢署偵辦。
"
419,竊包得手立馬刷高價水果 警2小時逮回,高雄市政府警察局公共關係室,2018/05/18 14:46,"  鼓山分局龍華派出所5月16日13時40分許接獲報案，一名女子表示中午12時30分時許，在鼓山區南屏路上的一家便利超商內用餐時，將側背包放在用餐區座椅上，離開座位才短短2分鐘後返回時，發現側背包內的皮夾不翼而飛。警方調閱監視器後，一眼認出轄區內的〝常客〞陳姓婦人涉案，2個小時內迅速將陳女帶返派出所說明，宣告破案。
被害女子表示，當時在南屏路的超商用餐時，因有人大喊機車被擋住去路，女子外出察看，約2分鐘後回到座位上繼續用餐，直到要離開時才發現側背包內的皮包竟然不翼而飛，報案人連忙報警處理。員警到場調閱監視器發現，一名綁馬尾的婦人趁被害人外出移車時，伸手竊取被害人側背包內的皮夾，立刻藏到自己隨身包包內。處理員警一眼認出該名女竊嫌就是派出所的〝常客〞、52歲的陳姓婦人，立即派員到陳嫌住處埋伏守候，順利等到陳嫌返家，並起獲被害人遭竊的皮夾及證件、信用卡等，陳嫌對犯行坦承不諱，並表示偷得皮夾後發現內有信用卡，立刻到附近的百貨公司持被害人信用卡刷卡購買了1394元的高價水果，準備返家享用時就被埋伏員警查獲，全案訊後依竊盜罪送辦。
"
420,酒後起盜心!警民合力逮獲竊車賊!,高雄市政府警察局公共關係室,2018/05/17 14:41,"  高市警局小港警分局小港派出所警員黃再清、鄧伊婷執行巡邏勤務時，接獲報案小港區翠亨南路與崇安街口有竊盜案件，立即馳赴現場，到達後發現見周姓男子遭民眾追呼為竊賊並於現場拉扯，員警立即制伏周男，當時周男渾身酒氣、口中大聲呼喊渠喝酒後無法控制才去偷東西等語，並稱身體不適。經查周男有毒品、槍砲、竊盜等前科，日前飲酒後，持T形扳手破壞自小貨車門鎖後，搜刮車內財物並進一步欲竊取該車，在破壞車頭龍頭鎖後遭車主父親發現大聲呼喊喝止，周男見行竊失風，立即打開車門，欲騎乘其駕駛之重機車逃逸，遭小貨車車主由機車上拉下後，周男徒步逃逸，幸經周邊民眾協助報案，警方立即馳赴現場共同合力將周男逮捕，因周男稱身體不適，警方遂通知119將渠先行戒護就醫。
周男遭逮捕後坦承竊取財物並意圖竊取該自小客車未果，並辯稱係酒後無法控制使然，但無法說明為何隨身攜帶T形扳手作案，警方對其施以酒精濃度測試，酒測值高達0.50MG/L。周男落網除感嘆飲酒作案失風被逮，並表示沒想到會有那麼多民眾配合警方協助逮捕，以後不敢再到小港地區犯案。警方呼籲發現可疑情況立即報案，警民合力勿讓宵小有機可趁。
"
421,吸毒吸到恍神  遇警臨檢還在昏睡還在茫,高雄市政府警察局公共關係室,2018/05/17 14:39,"  高市警局湖內分局路竹分駐所所長邱善明、警員林政評、楊詠智、姜文浩及竹滬所副所長王瑞成等於日前執行擴大臨檢勤務，於21時許在路竹區文化路上一間娛樂大樓執行臨檢時，發現石姓男子於客房內昏睡，眼尖的邱所長見石男於棉被中的手疑似在藏匿某物品，懷疑其中可能有違禁品，立即將棉被翻開後，果然發現在石男身上立刻掉出1包海洛因毒品，讓石男當場啞口無言。
石男目前無業，有毒品前科，甫花了大把鈔票在網路上購買毒品完，一個人從高雄市區坐計程車路過路竹區並入住該大樓隨即進行吸毒，又因剛吸食完毒品導致神智不清，所以遇警方臨檢時反應遲緩，當警方向石民盤查其身分時，石民表情恍惚、還搞不清楚是什麼狀況，警方當場在石男所住宿之房間內查獲其他毒品，其中有海洛因5包(共計9.53公克)及安非他命包7(共計64.17公克)及磅秤1個，全案經帶返所偵訊後，石男經偵訊後坦承所有並依毒品危害防制條例移送臺灣橋頭地檢署偵辦。
"
422,男夾娃娃技術不佳 見他人夾到手眼紅竊走,高雄市政府警察局公共關係室,2018/05/17 14:35,"  高市警局三民一分局哈爾濱所於5月14日接獲被害人稱在三民區九如二路某夾娃娃機店前，當時他所夾獲的藍芽喇叭放置於機車坐墊上後又進入店內繼續夾娃娃，沒想到要離去時就發現該組藍芽喇叭不見了，經調閱店內監視器發現一名身材壯碩，身穿黑色上衣戴眼鏡男子將其喇叭竊走，確定被竊後被害人趕緊報警。警方獲報後立即由警員李佳衛、黃來順、游孟洋及蔡仲育調閱監視器，發現竊嫌竊後騎乘車輛離去畫面並加強追查， 15日到程嫌家中通知其到案說明後宣告偵破。
程嫌到案後，警方將監視器畫面撥放給程嫌看，程嫌坦承畫面裡的人是他沒有錯，程嫌表示當日他因家中事情太多導致自己心煩意亂，就到夾娃娃機店去夾娃娃，想要放鬆自己轉換心情，但因自己技術不好都沒夾到東西，正要離去時見他人車上有一組娃娃機內的商品藍芽喇叭(價值新台幣750元)，竟一時鬼迷心竅順手將該組喇叭帶走，雖然程嫌到案還辯稱以為該物品是他人要丟棄的物品，才會順手拿走，事後也對自己的行為感到十分後悔，也主動交付贓物予警方還給被害人，警方也告知程嫌無論心情多繁亂也不能犯罪，雖被害人獲知後不追究，但還是得為自己的行為負責任，訊後將程嫌以竊盜罪嫌函送法辦。
"
423,又是酒駕惹的禍  女騎士喝酒違規左轉倒地送醫,高雄市政府警察局公共關係室,2018/05/16 14:31,"  高市警局前鎮分局復興路派出所於107年05月16日2時30分許接獲報案前鎮區中山路與復興路口發生車禍，立即由線上警網前往了解。警方到達現場時發現有一女子騎乘一白色重機車，機車倒在路中間，女子則是倒地不起，另一台汽車車主停放於路中，緊急連絡救護車將女子送醫。
經查女子黃0玲，與男子簡0封駕駛7810-MZ相撞。員警本來以為只是單純車禍，沒想到黃姓女子送阮綜合醫院抽血檢驗結果換算酒測值高達1.08mg/l，另經警方事後調閱路口監視器，發現該女子不但是喝酒並且闖紅燈且違規左轉，全案依刑法公共危險罪函送高雄地檢署偵辦。
"
424,賊星該敗!機車竊嫌騎贓車自撞分隔島,高雄市政府警察局公共關係室,2018/05/15 14:29,"  高市警局楠梓分局轄區加昌路與軍校路口於日前許發生一件機車自撞分隔島的車禍，警方即調閱路口監視器，發現駕駛由加昌路東往西行要接往右昌街時，以近乎「自殺式」的騎法在不減速的狀況下闖紅燈穿越汽車車陣的小縫隙後失控撞上分隔島。右昌派出所警員沈家仰與曾艷秋二人到場後立即協助受傷駕駛宋OO送醫救治。將傷者送醫後，同仁現場發現肇事之機車車號十分眼熟，定睛一看發現「這不是不久前報失竊的那台機車嗎?」因傷者當時身上多處擦傷且頭部有撞擊於加護病房觀察，經請示檢察官，決定先行蒐證，等嫌犯出院後再行通知到案說明。
嫌疑人宋OO事後到案供稱，機車是向朋友葉OO所借，不知為何對方要報失竊。但據被害人葉OO供稱，完全沒有接到宋OO的詢問，可能是宋員無意間得知他要北上工作，所以趁機竊取使用，沒想到葉OO因故又回高雄，隨即發現機車失竊。直到警方告知，才驚覺竊嫌竟然是自己的朋友。另宋OO對於自己當時為何闖紅燈並失控自撞之情形，聲稱均不記得了，全案依竊盜罪移送橋頭地檢署。
"
425,起重機工具被偷，警循線逮人，原來是癡情男惡作劇,高雄市政府警察局公共關係室,2018/05/15 14:26,"  高市警局三民二分局覺民路派出所於107年4月下旬接獲報案：竊賊侵入三民區皓東路內重機械停車場竊取起重機吊勾，被害人承包工程因此無法按期施作心急如焚。獲報後承辦員警立即沿線調閱相關資料加以分析比對，經鎖定竊嫌身分林○○，專案人員嗣於107年5月10日下午16時許，至其鳳山區北圍街住處將其帶回偵辦。經調查發現，原來林嫌以前係被害人女兒的同學，因心儀其女展開追求，然郎有情女無意，屢次遭拒而惱羞成怒，乾脆至被害人處竊物洩憤，自以為神鬼不覺，如今被警察查獲移送法辦乃其始料未及。
經查林嫌業工，坦承竊盜犯案不諱。但犯案動機隱晦不談，僅推稱一時興起便順手竊物。然調查發現本案贓物(吊車掛勾)與林嫌職業背景毫無關連且林嫌上下班動線及地緣關係與本案也無法連結。承辦員警持續了解，林嫌方吐露：原來林嫌與被害人之女兒係高中同學，對其愛慕已久，經過多年仍對女子念念不忘，並有追求之意，只是郎有情而妹無意，日前林嫌仍持續追求女子，但均被拒於門外。渠心有不甘，便潛入被害人處所竊取吊車掛勾搞破壞。原是惡作劇之心態，如今吃上竊盜官司，林嫌也感到後悔。嗣後被害人知悉係林嫌行竊，也只能無奈搖頭。對於承辦員警短期破案找回贓物讓其順利施工也表示感謝之意，全案依竊盜罪嫌移送高雄地檢署偵辦。
"
426,左營警積極尋獲大班迷路男童 家長噴淚謝稱最好的母親節禮物,高雄市政府警察局公共關係室,2018/05/15 14:22,"  高市警局左營分局左營派出所於107年5月13日17時40分許接獲高雄物產館來電，稱館內有一位男童疑似走失，請求警方到場協助，副所長蔡太雄及警員卓珮宸獲報後立即前往物產館了解。抵達物產館後，館方人員唐小姐與家長李先生著急地向警方尋求協助。李先生說當日是母親節，所以帶著家人與其他友人及其家屬，一同來到物產館郊遊及散步，因館內範圍不會太大，所以讓小孩們自行在館內遊玩，而友人正就讀幼稚園大班的謝姓男童吃完冰淇淋後，告訴大人要去外面的廁所洗手，因廁所就在後方所以放心讓他自行前往，可是等了10分鐘男童還沒回來，大人們立即在物產館園區內尋找，裡裡外外持續找了30多分鐘，仍是沒看到男童的蹤跡，深怕男童被人拐走或是發生意外，才請物產館內人員幫忙報警協助。
所幸李先生提供一張當日稍早與友人一同拍照的大合照，謝男童上衣穿有恐龍圖案的藍色上衣，下半身則為牛仔短褲，一方面蔡副所長先請值班警員徐偉仁打電話詢問其他派出所是否有尋獲迷途兒童，另一方面與卓員分頭沿著物產館及周邊的蓮池潭開始尋找。周末的下午有許多民眾帶著小孩在蓮池潭及物產館周邊散步，警方沿著蓮池潭都找過一遍，就算人潮多也不放過任何一個角落，因為已經接近黃昏時分，若不再快點找到很快就天黑了，那更會增加尋找的難度，就這樣找尋了30分鐘之後，終於在蓮潭路上靠近孔廟的步道上發現了男童。蔡副所長看到男童時，一眼即認出照片裡男童穿的藍色恐龍上衣，男童一個人在步道上慌亂地往前走，一聽到蔡副所長叫他的名字立刻哭了出來，並且說自己要去物產館。男童一把鼻涕一把眼淚的哭著訴說自己是跟著大人走出去，可是之後就迷失方向，以為沿著步道就可以回到物產館，但是卻是反方向地越離越遠。警方最後在距物產館約2公里遠外找到男童，男童一個人在找路回物產館的時候還可以忍住情緒，但是一看到警方前來尋找他時，緊張的情緒終於有渲洩出口並哭了出來。
警方一方面安慰男童，並且一方面打電話給家長李先生及物產館人員唐小姐報平安，隨即立刻帶著男童回到物產館找家人。男童的媽媽一看到男童平安回到身邊，緊繃及不安的情緒終於爆發，立即衝出來抱著男童，雖然嘴上說不可以亂跑，但是看到男童平安回到身邊，一切都不要緊了。對於警方大力的幫忙，男童的母親、李先生及物產館的員工表示非常感謝。男童的母親表示物產館和蓮池潭周邊的範圍相當大，周末人潮又多，又能夠在短時間內找到男童並且平安無事回到家人身邊，這真的是最好的母親節禮物。
"
427,小港警民合作 順利查獲毒品案,高雄市政府警察局公共關係室,2018/05/15 14:22,"  高市警局小港分局轄內高鳳路上的統一超商，於107年5月13日15時10分，致電小港分局桂陽路派出所，請求警方協助，警員謝任鈞、簡文龍等2人，獲報後立刻前往處理。
謝等2員抵達後，發現有一男子趴在超商廁所內的馬桶上，旁邊還放著1包香煙盒，盒上還插著1支注射過的針筒，經盤查後得知該男子為李○○，另在該香煙盒內尚有1支注射針筒及夾鏈袋8個，其中1個夾鏈袋內尚留有白色粉末(毛重0.3公克)，詢據李嫌供稱上述物品皆渠所有，且該白色粉末為第一級毒品海洛因，詢後將李嫌依違反毒品危害防制條例罪嫌移請高雄地檢署偵辦。
"
428,捷運警察隊「獵狼專案」奏效，連續破獲三和國中站偷拍、性騷等 案,臺北市政府警察局公共關係室,2018/05/31 13:42,"   本(5)月15日20時許，一名洪姓女子於捷運三和國中站搭乘電扶梯時，發現遭後方男子持手機偷拍裙底驚叫攔阻不及後報案，臺北市警局捷運警察隊獲報後立即啟動偵辦追緝犯嫌，經連日鍥而不捨追查，於本(5)月25日順利查獲賴姓嫌犯到案。
捷警隊為防止不肖色(攝)狼鎖定落單婦女俟機作案，前於本(5)月4日啟動「獵狼專案」，迄今共查獲移送3件偷拍、性騷案。該隊除持續加強勤務防範作為外，並鎖定相關慣犯與捷運公司站務人員橫向聯繫，發現是類列管對象進入站體時，立即通報該隊派遣刑事組便衣人員前往監控，遏止其趁隙犯案。
時值夏季為偷拍、性騷案高峰期，捷警隊呼籲搭乘捷運婦女，應提高防護警覺，搭乘電扶梯時，應注意後方有無可疑對象持手機等物貼近，預防被偷拍；另於車廂等處遇可疑人貼近之異常舉動時，應設法遠離並留意觀察，以防止歹徒乘機犯案，若遇上述狀況時應勇於通報站務或警方人員協助，以維護自身安全。"
429,萬華警力大掃蕩，職業賭場無處藏,臺北市政府警察局公共關係室,2018/05/30 15:31,"臺北市政府警察局萬華分局日前接獲情資，黃姓女子在臺北市萬華區西昌街涉嫌經營麻將賭場，經轄區員警長期埋伏監控蒐證，於107年4月28日各所合力聯手出擊，持臺北地院核發的搜索票前往查緝，警方當場逮捕現場負責人1名及工作人員2名；另查獲8名賭客，現場查扣抽頭金新臺幣6，000元、現場賭資4，380元、麻將2副、排尺8支、搬風骰2顆、監視器等賭博證物，詢後將3名現場負責人依刑法賭博罪嫌移送臺灣臺北地方法院檢察署偵辦，另8名賭客依違反社會秩序維護法裁罰。
黃姓女子等3名現場負責人利用萬華區西昌街夜市一帶老舊民宅做為掩護，招攬賭客上門賭博，出入皆有專人監看及過濾身分，企圖規避警方查緝，經警方長期佈線、監控，一舉查獲該職業賭場。
萬華警分局表示，警方將持續強力執行、嚴正掃蕩，展現淨化社會治安並杜絕賭博歪風之決心。"
430,熱心員警積極找到走失兒童，重回父母親溫暖懷抱,臺北市政府警察局公共關係室,2018/05/30 15:31,"107年5月26日19時23分許，萬華分局武昌街派出所警員鍾孟哲於西門町徒步區擔服機動派出所勤務，陶姓市民(65年次)氣急敗壞請求協助，陶民表示30分鐘前與太太帶著2位小朋友至漢中街及武昌街2段的娃娃機店內抓玩具，離開時卻發現小朋友不見了，開始在店內及周遭尋找，但遍尋不著，急如熱鍋上的螞蟻，看到鍾員在西門町內步巡，猶如見到黑暗中的一盞明燈，當即趨前求救。
鍾員先安撫陶民夫婦焦急的情緒，並主動陪同在西門町徒步區地毯式尋找，約莫25分鐘後，鍾員在漢中街52號的夾娃娃機店內尋獲該2名小朋友陶Ｏ軒(97年次)及陶Ｏ恩(99年次)，並帶2兄妹與父母團聚，陶民夫婦對於鍾員主動積極的為民服務態度深表感謝，讚歎充分發揮視民如親的精神。
萬華分局提醒，如果有帶小朋友至鬧區或人潮眾多地區，應教導小朋友如果找不到大人時，先在原地等候，不要亂跑；或是尋求警察協助。此外，也可以在小朋友身上配戴名牌，並載明聯絡方式等重要資訊，俾利孩童走失時，旁人或警察可以連絡其家人。"
431,中部地區107年萬安41號演習請全民配合,彰化縣警察局公共關係科,2018/05/30 09:22,"中部地區107年軍民聯合防空（萬安41號）演習於6月7日（星期四）13時30分至14時實施，演習時間30分鐘，民眾於演習警報發放後，請配合憲兵、警察、民防、義警人員交通管制與避難疏散措施。
民防法第21條規定：為減少空襲時之損害，國防部得會同有關機關實施防空演習，命令實施疏散避難與交通、燈火、音響及其他必要之管制。
請民眾在演習期間應配合及注意事項如下：
一、家庭及公共場所之人員應緊閉門窗、水電、瓦斯、熄滅燈火，並立即進入防空避難處所避難。
二、在室外工作或行駛途中之人車，應就近進入公共避難處所或堅固建築物底層實施避難。
三、道路、街（巷）一律實施交通管制，流動人口（含在外觀望、商店顧客、行人）就近進入避難處所，嚴禁在街頭、戶外或防空避難處所附近徘徊觀望。
四、全民防空演習警報發放後，人、車一律按規定接受警察及民防人員指（引）導，均須進行防空疏散避難（軍事單位依其防空計畫實施），且引導民眾（含居家或工作者）確實進入防空處所避難。
五、交通運輸工具依規定迅速採取疏散避難行動，行動要領如下：
（一）在市區行駛之車輛，應靠路邊停車並立即下車進入避難處所。
（二）在市區停放之車輛，一律停在原地不得發動。
（三）在幹道行駛之車輛，應即靠邊停放，或就近轉入非幹道停放，仍無法停靠者，則繼續向郊外行駛，不得阻塞道路通行。
（四）在非幹道上行駛之車輛，即向道路兩側疏散停放。
（五）在郊外之車輛，不得進入市區，車內乘客就近疏散避難。
（六）高鐵及臺鐵各班次列車正常行駛，下車、接送親友旅客立即接受憲、警、民防人員指揮疏散避難。
（七）演習地區內高速公路各交流道實施管制，准下不准上；行駛於高速公路車輛不予管制，下交流道車輛，立即實施防空疏散及避難。
六、未解除警報前，不得走出避難處所或返回市區。
七、本次演習國家災害防救科技中心除以3G、4G行動電話簡訊通知萬安41號演習防空警報訊息外，另演練首度模擬飛彈來襲的避難措施，增加「空中威脅告警系統」功能測試，請民眾注意接收訊息。
彰化縣警察局籲請演習時所有民眾及各機關、學校、團體、公司及廠場必須配合實施，如有不配合且經勸導不聽者，將以違反民防法規定處新臺幣3萬元以上15萬元以下罰鍰。
"
432,降低恐怖情人傷害危機 警籲聲請保護令後你該這麼做,臺北市政府警察局公共關係室,2018/05/30 09:05,"    近日連續發生兩起男女情殺分屍案件，為免悲劇再次發生，臺北市政府警察局婦幼警察隊提出自我人身安全資訊供社會大眾參考，根據現行家庭暴力防治法第63-1條規定，只要被害人年滿十六歲，遭受現有或曾有親密關係的未同居伴侶施以身體或精神上不法侵害情事，即可聲請保護令，聲請保護令方式可至自身所在地派出所請警方協助聲請，或是至自己住居所、加害人住居所及暴力發生地之法院聲請，倘若加害人無視裁定核發之保護令，仍不斷有騷擾動作，立刻請警方到場對加害人施以告戒及約制，或以違反保護令現行犯移送法辦，但婦幼隊在此呼籲聲請保護令後，被害者應有以下自我保護措施，才能讓保護令發揮最大功效:
1.不接觸:勿與對方單獨接觸，如有必要須會面，應選擇明亮人多的地方，並找親人、朋友陪同前往，避免讓自己處於危險情境。
2.不聯繫:斷絕與對方金錢來往，不接受對方示好物品，勿以同情心理持續與對方聯繫，避免讓對方存有機會要求見面。
3.不激怒:談話時避免挑釁、辱罵的言語激怒對方，觀察對方行為舉止，如發現對方情緒高漲或有異常神情時，立刻求助，並伺機離開現場。
4.親友保護:告訴自己及對方的親人、朋友等目前感情窘境，請求幫忙勸說開導或協助留意，以免對方發生傷人或自殘行為。
婦幼隊最後提醒，目前正式婦幼安全網絡包含警察、社政及檢察單位，非正式婦幼安全網絡包含家庭、親友、同儕、社區里鄰，勇敢尋求網絡其中一方協助，保護自身安全，降低被害危機。"
